_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,recno
51.6403633815,-43.6135684044,16038,03 26 33.69,-43 36 48.6,9.17,51.64036553,-43.61351046,12.63,-0.64,-23.84,1.0,0.626,,51.64036338,-43.6135684,16024
52.2255944404,-19.9797698103,16212,03 28 54.14,-19 58 47.1,10.1,52.22556413,-19.97974847,4.37,11.72,-8.78,1.95,0.55,,52.22559444,-19.97976981,16199
0.0,0.0,16216,03 28 55.29,-19 58 26.4,11.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,0.0,0.0,16202
53.178266015,-51.7890157639,16521,03 32 42.69,-51 47 21.4,9.47,53.17785453,-51.7892814,8.8,104.72,109.29,0.97,0.609,,53.17826602,-51.78901576,16507
54.3087344787,-44.4720274311,16881,03 37 14.10,-44 28 19.4,8.55,54.30875202,-44.47204707,0.74,-5.15,8.08,1.19,0.477,,54.30873448,-44.47202743,16867
54.8198404958,-42.7625524943,17047,03 39 16.80,-42 45 44.2,8.27,54.82001172,-42.7622828,16.58,-51.72,-110.96,0.82,0.53,,54.8198405,-42.76255249,17033
55.4599877665,-62.7670756925,17264,03 41 50.53,-62 46 01.1,9.73,55.46053888,-62.76696977,25.57,-103.76,-43.58,1.0,1.013,,55.45998777,-62.76707569,17250
56.337484369,60.3509400917,17540,03 45 21.06,+60 21 03.4,8.02,56.33775642,60.35094996,12.87,-55.37,-4.06,1.09,0.581,,56.33748437,60.35094009,17526
56.7573913361,8.6647475664,17668,03 47 01.77,+08 39 53.3,10.89,56.75737774,8.66481149,8.85,5.53,-26.3,4.18,0.591,,56.75739134,8.66474757,17654
60.2782749005,4.5411413457,18761,04 01 06.76,+04 32 28.7,8.77,60.27816384,4.54129187,14.24,45.55,-61.93,1.62,0.53,,60.2782749,4.54114135,18745
60.7479526045,9.2084890498,18893,04 02 59.45,+09 12 32.0,6.91,60.74772307,9.20888472,22.7,93.22,-162.79,0.84,0.466,,60.7479526,9.20848905,18877
64.1841200497,-26.7659063747,19950,04 16 44.21,-26 45 56.2,9.86,64.18419257,-26.76562234,17.02,-26.64,-116.86,1.56,0.909,,64.18412005,-26.76590637,19933
64.3114187794,-38.8441721889,19989,04 17 14.73,-38 50 39.0,8.84,64.31138673,-38.8441683,0.93,10.27,-1.6,0.9,0.077,,64.31141878,-38.84417219,19972
65.2380425543,-68.102649962,20295,04 20 57.10,-68 06 09.4,9.42,65.23790641,-68.10261766,7.27,20.89,-13.29,0.85,0.576,,65.23804255,-68.10264996,20278
65.3457503218,62.2456946722,20334,04 21 22.95,+62 14 45.6,8.25,65.34561394,62.2459947,12.52,26.13,-123.44,0.98,1.071,,65.34575032,62.24569467,20317
65.9156892141,-53.8511096072,20504,04 23 39.78,-53 51 04.0,10.0,65.91576985,-53.85111301,3.38,-19.57,1.4,2.39,0.57,,65.91568921,-53.85110961,20486
