_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,recno
169.1186730002,-60.5678635741,55069,11 16 28.42,-60 34 04.7,8.55,169.1184337,-60.5679668,9.86,48.38,42.47,0.87,0.559,,169.118673,-60.56786357,55027
172.2571666847,63.5734790052,56031,11 29 01.58,+63 34 24.3,7.73,172.2565921,63.57340468,13.47,105.21,30.58,0.79,0.495,,172.25716668,63.57347901,55988
176.3805784875,65.5409850951,57350,11 45 31.34,+65 32 26.9,8.78,176.38056751,65.54079855,25.67,1.87,76.75,0.94,0.79,,176.38057849,65.5409851,57304
176.4813894074,11.3708762846,57386,11 45 55.53,+11 22 15.2,9.41,176.48136345,11.37090042,8.2,10.47,-9.93,1.62,0.477,,176.48138941,11.37087628,57338
179.1638533709,-12.377487479,58234,11 56 39.36,-12 22 38.9,9.53,179.16399185,-12.37746067,7.53,-55.65,-11.03,1.44,0.647,,179.16385337,-12.37748748,58187
186.5745441945,-51.3628357427,60689,12 26 17.96,-51 21 45.8,9.25,186.57482482,-51.3627165,15.76,-72.09,-49.06,1.45,0.638,,186.57454419,-51.36283574,60637
188.3605159634,84.6791450854,61278,12 33 27.30,+84 40 45.3,9.41,188.36375424,84.67925233,8.38,-123.55,-44.12,0.83,0.842,,188.36051596,84.67914509,61225
189.5184010333,3.2824441235,61637,12 38 04.43,+03 16 56.9,6.33,189.51847183,3.28247137,5.02,-29.08,-11.21,0.86,0.0,,189.51840103,3.28244412,61584
189.7766674328,-74.573991021,61723,12 39 06.51,-74 34 26.3,9.29,189.77713793,-74.57397515,12.65,-51.49,-6.53,1.04,0.644,,189.77666743,-74.57399102,61670
189.8102731031,-69.5420016766,61737,12 39 14.49,-69 32 31.2,8.43,189.81036573,-69.54199701,3.46,-13.32,-1.92,0.75,0.02,,189.8102731,-69.54200168,61684
190.0365914191,-44.3120131215,61820,12 40 08.78,-44 18 43.1,10.09,190.03659896,-44.311985,10.55,-2.22,-11.57,1.68,0.697,,190.03659142,-44.31201312,61767
192.5916541804,-88.1210346571,62662,12 50 22.35,-88 07 15.6,9.23,192.59313824,-88.12099013,8.73,-20.02,-18.32,0.94,0.546,,192.59165418,-88.12103466,62609
193.3955295841,85.1294752511,62908,12 53 34.80,+85 07 46.1,9.54,193.39502031,85.12945972,9.22,17.79,6.39,0.91,0.589,,193.39552958,85.12947525,62855
197.3174671141,-60.3083470122,64184,13 09 16.24,-60 18 29.9,8.2,197.31766344,-60.30830037,12.04,-40.01,-19.19,0.95,0.445,,197.31746711,-60.30834701,64129
198.539487626,-16.5587290068,64573,13 14 09.39,-16 33 30.2,8.18,198.53914287,-16.55838608,21.74,135.96,-141.09,2.08,0.817,,198.53948763,-16.55872901,64518
200.4528396739,17.7654890397,65205,13 21 48.70,+17 45 55.8,7.82,200.45289784,17.76551213,9.72,-22.79,-9.5,1.17,0.403,,200.45283967,17.76548904,65151
201.2833118832,38.9224849386,65469,13 25 08.09,+38 55 21.2,10.0,201.28370521,38.92255054,25.49,-125.9,-26.99,1.52,1.02,,201.28331188,38.92248494,65413
201.3369448249,75.9827199208,65489,13 25 20.89,+75 58 57.8,8.45,201.33702721,75.98272415,2.68,-8.21,-1.74,0.73,0.393,,201.33694482,75.98271992,65434
203.5105726615,53.728529011,66192,13 34 02.62,+53 43 43.4,8.05,203.51093354,53.72871964,11.29,-87.84,-78.43,0.82,0.699,,203.51057266,53.72852901,66135
205.1699572254,19.2001491451,66730,13 40 40.85,+19 12 01.1,7.65,205.17019218,19.20031593,16.3,-91.29,-68.62,0.96,0.533,,205.16995723,19.20014915,66670
205.8461461823,39.2491394275,66954,13 43 23.01,+39 14 57.6,9.23,205.84587262,39.24933115,36.27,87.16,-78.88,1.19,1.101,,205.84614618,39.24913943,66896
207.5261644366,-40.8358015382,67522,13 50 06.30,-40 50 08.7,9.79,207.52625866,-40.835746,7.94,-29.33,-22.85,1.64,0.67,,207.52616444,-40.83580154,67463
207.9061747567,33.4924326588,67650,13 51 37.52,+33 29 32.8,9.2,207.90633243,33.49245677,5.68,-54.1,-9.92,1.16,0.548,,207.90617476,33.49243266,67591
212.6222261087,72.5901689371,69240,14 10 29.46,+72 35 25.4,8.8,212.62273114,72.59039916,18.84,-62.17,-94.72,1.24,0.773,,212.62222611,72.59016894,69177
212.7210375036,62.5222113958,69275,14 10 53.07,+62 31 20.0,8.28,212.72112558,62.5222165,9.95,-16.72,-2.1,0.68,0.408,,212.7210375,62.5222114,69212
212.8467415918,-50.069939724,69332,14 11 23.24,-50 04 11.7,9.75,212.8468235,-50.06991904,4.97,-21.63,-8.51,2.91,0.999,,212.84674159,-50.06993972,69269
214.4465670796,62.7579186366,69858,14 17 47.33,+62 45 27.6,8.43,214.44720712,62.75765327,6.7,-120.54,109.18,0.72,0.27,,214.44656708,62.75791864,69795
216.9240260296,41.9534216041,70705,14 27 41.84,+41 57 13.2,9.91,216.92432527,41.95366816,17.29,-91.56,-101.44,1.58,1.007,,216.92402603,41.9534216,70644
217.2797979415,-43.3618930051,70833,14 29 07.17,-43 21 42.6,8.82,217.27989419,-43.36184296,8.05,-28.79,-20.59,1.38,0.423,,217.27979794,-43.36189301,70770
219.0373972204,42.3782758636,71409,14 36 09.02,+42 22 41.4,8.86,219.03759207,42.37817152,10.64,-59.22,42.93,0.95,0.509,,219.03739722,42.37827586,71346
220.3503747137,-33.9503863694,71815,14 41 24.11,-33 57 01.2,8.43,220.35047375,-33.95033105,4.46,-33.8,-22.76,1.7,1.0,,220.35037471,-33.95038637,71752
222.3348948346,-60.0798818655,72490,14 49 20.56,-60 04 46.8,9.18,222.33565057,-60.07967301,9.65,-155.09,-85.93,1.49,0.602,,222.33489483,-60.07988187,72427
223.152004425,-61.5686449812,72777,14 52 36.49,-61 34 07.0,8.19,223.15204159,-61.5686242,2.79,-7.28,-8.55,1.14,0.015,,223.15200443,-61.56864498,72714
225.0808242735,-24.4540794698,73427,15 00 19.53,-24 27 14.4,9.92,225.08135877,-24.45401387,33.65,-200.18,-26.99,1.59,1.253,,225.08082427,-24.45407947,73365
226.1813318102,38.6052272643,73765,15 04 43.53,+38 36 18.5,7.49,226.18138145,38.60514499,21.31,-15.96,33.85,0.71,0.503,,226.18133181,38.60522726,73703
226.4579356978,64.0472098111,73869,15 05 50.07,+64 02 49.0,8.4,226.45861033,64.04693708,22.59,-121.47,112.21,0.68,0.677,,226.4579357,64.04720981,73807
227.8704616782,71.8409493917,74326,15 11 29.27,+71 50 26.7,9.08,227.87194689,71.84075663,13.75,-190.44,79.31,0.82,0.651,,227.87046168,71.84094939,74264
228.5684017893,51.4687482272,74576,15 14 16.39,+51 28 07.3,8.86,228.56827549,51.46868688,8.21,32.37,25.24,0.78,0.58,,228.56840179,51.46874823,74514
228.9500689841,27.3617726558,74685,15 15 48.05,+27 21 42.3,8.7,228.95021477,27.36174451,10.44,-53.27,11.58,1.28,0.504,,228.95006898,27.36177266,74623
236.0693254141,-54.3208549958,77073,15 44 16.66,-54 19 14.9,7.66,236.0693978,-54.3208146,4.96,-17.37,-16.62,1.79,0.362,,236.06932541,-54.320855,77009
238.0011142519,-76.4934433254,77717,15 52 00.28,-76 29 36.3,9.74,238.0011641,-76.49342794,1.38,-4.79,-6.33,1.28,0.39,,238.00111425,-76.49344333,77652
238.7020798078,-65.9012081073,77921,15 54 48.47,-65 54 04.5,7.55,238.70197129,-65.90125859,20.54,18.23,20.77,1.09,0.621,,238.70207981,-65.90120811,77857
239.8256997587,-49.3664918665,78301,15 59 18.20,-49 21 59.1,8.9,239.82581296,-49.36640687,9.83,-30.33,-34.97,1.66,0.7,D,239.82569976,-49.36649187,78236
241.5806963219,53.5150394735,78892,16 06 19.30,+53 30 55.0,8.35,241.58040937,53.51526746,13.57,70.2,-93.8,0.73,0.58,,241.58069632,53.51503947,78827
242.2010402349,35.6912410306,79105,16 08 48.25,+35 41 28.7,9.11,242.20105852,35.69129285,4.77,-6.11,-21.32,1.03,0.506,,242.20104023,35.69124103,79040
244.3811905188,61.3685525463,79823,16 17 31.34,+61 22 07.4,8.19,244.3805936,61.36872519,12.25,117.68,-71.03,0.66,0.427,,244.38119052,61.36855255,79758
244.564434392,42.6270054585,79876,16 18 15.50,+42 37 37.1,8.38,244.56456329,42.62696866,7.91,-39.02,15.14,0.74,0.414,,244.56443439,42.62700546,79812
245.1514882887,41.0480837325,80076,16 20 36.37,+41 02 53.4,8.72,245.15152258,41.04815592,7.39,-10.64,-29.7,0.88,0.463,,245.15148829,41.04808373,80011
245.7279214021,61.6946282107,80243,16 22 54.56,+61 41 40.3,8.71,245.72733059,61.69451733,27.56,115.26,45.62,0.7,0.815,,245.7279214,61.69462821,80177
245.7795316104,50.3442147748,80264,16 23 07.04,+50 20 39.2,7.42,245.77931909,50.3442349,19.39,55.8,-8.28,0.58,0.516,,245.77953161,50.34421477,80199
247.6234133533,38.3473095856,80838,16 30 29.68,+38 20 49.8,8.15,247.62365236,38.34717994,12.68,-77.12,53.34,0.79,0.611,,247.62341335,38.34730959,80773
248.4336102968,61.718299939,81087,16 33 44.08,+61 43 05.8,9.96,248.43365072,61.71827663,4.09,-7.88,9.59,1.11,0.908,,248.4336103,61.71829994,81022
251.3619662928,-71.8398130803,82032,16 45 26.79,-71 50 23.8,7.59,251.36164461,-71.83994715,18.42,41.25,55.16,0.82,0.539,,251.36196629,-71.83981308,81966
254.9586603028,58.4625822454,83168,16 59 50.09,+58 27 45.2,6.87,254.95870705,58.46255286,7.14,-10.06,12.09,0.5,0.122,,254.9586603,58.46258225,83100
255.5656174938,64.6007386252,83359,17 02 15.78,+64 36 02.4,6.11,255.56573264,64.60065516,9.05,-20.32,34.34,0.5,0.96,,255.56561749,64.60073863,83291
256.982622456,32.1054848264,83827,17 07 55.94,+32 06 20.1,7.21,256.98308692,32.10558623,27.68,-161.87,-41.72,0.71,0.562,,256.98262246,32.10548483,83757
257.785095161,56.6592072632,84062,17 11 08.43,+56 39 33.7,6.98,257.78510887,56.6593696,35.47,-3.1,-66.79,1.25,0.705,,257.78509516,56.65920726,83991
260.0966140249,20.2826120366,84840,17 20 23.22,+20 16 58.9,9.83,260.09674483,20.28303437,8.6,-50.48,-173.76,1.49,0.795,,260.09661402,20.28261204,84769
260.7991962109,-51.0243918176,85072,17 23 11.81,-51 01 27.8,10.53,260.79922299,-51.02438246,7.31,-6.93,-3.85,4.97,0.658,,260.79919621,-51.02439182,85001
261.3502300202,52.7906836676,85268,17 25 24.14,+52 47 26.9,6.46,261.35059537,52.79080663,36.8,-90.9,-50.59,0.54,0.619,,261.35023002,52.79068367,85197
261.9211373568,57.5104975811,85444,17 27 41.09,+57 30 37.7,8.37,261.92119324,57.51046472,6.45,-12.35,13.52,0.71,0.334,,261.92113736,57.51049758,85373
262.3352639633,-38.645635514,85583,17 29 20.47,-38 38 43.6,8.48,262.33529082,-38.64545033,11.64,-8.63,-76.19,1.68,0.578,,262.33526396,-38.64563551,85511
263.7581123259,40.6950614386,86040,17 35 01.95,+40 41 42.2,9.07,263.7581314,40.69506664,3.47,-5.95,-2.14,0.89,0.589,,263.75811233,40.69506144,85966
263.8519452233,64.3804512646,86067,17 35 24.45,+64 22 50.3,8.74,263.8518785,64.3806329,13.26,11.87,-74.73,0.8,0.649,,263.85194522,64.38045126,85994
266.1675263713,-44.24584782,86844,17 44 40.20,-44 14 44.7,9.85,266.16749424,-44.24576207,4.05,9.47,-35.28,1.94,0.527,,266.16752637,-44.24584782,86769
269.8072283152,64.1425767662,88071,17 59 13.71,+64 08 33.1,7.31,269.80713168,64.14254111,13.71,17.34,14.67,1.71,0.435,,269.80722832,64.14257677,87994
279.712788324,-85.708950952,91434,18 38 49.92,-85 42 31.9,8.11,279.70799692,-85.70884796,15.89,147.5,-42.38,0.7,0.58,,279.71278832,-85.70895095,91352
281.0399626197,75.9909395538,91906,18 44 09.89,+75 59 26.0,10.71,281.04119258,75.9905653,24.86,-122.5,153.98,1.48,1.38,G,281.03996262,75.99093955,91822
281.7084425248,12.5545017639,92146,18 46 50.02,+12 33 16.2,7.9,281.70841481,12.55449875,2.47,11.13,1.24,1.0,0.111,,281.70844252,12.55450176,92062
282.000348282,48.5422190675,92247,18 48 00.08,+48 32 31.9,9.24,282.00031392,48.54219938,4.27,9.36,8.1,0.93,0.307,,282.00034828,48.54221907,92163
283.5361356911,-36.6565594217,92759,18 54 08.66,-36 39 23.0,9.79,283.53608467,-36.65639463,26.57,16.84,-67.8,1.86,0.958,,283.53613569,-36.65655942,92674
283.7945228494,64.531329745,92848,18 55 10.68,+64 31 52.8,9.81,283.79448741,64.53132362,3.59,6.27,2.52,1.98,0.504,,283.79452285,64.53132974,92763
286.2283065995,79.7551360866,93711,19 04 54.84,+79 45 16.8,9.72,286.2284792,79.75466242,30.79,-12.63,194.88,2.08,1.102,,286.2283066,79.75513609,93626
287.7410530599,-60.2721983833,94235,19 10 57.84,-60 16 19.0,8.31,287.74098787,-60.27195805,17.49,13.3,-98.88,1.08,0.622,,287.74105306,-60.27219838,94150
290.9772063908,-33.3513820422,95348,19 23 54.54,-33 21 04.9,9.62,290.97726735,-33.35136182,7.52,-20.95,-8.32,2.46,0.0,D,290.97720639,-33.35138204,95263
291.3736481865,-60.9410063343,95502,19 25 29.66,-60 56 27.5,9.71,291.37356762,-60.94098356,2.21,16.1,-9.37,1.59,0.348,,291.37364819,-60.94100633,95416
291.4630740676,25.189454579,95526,19 25 51.14,+25 11 22.1,8.98,291.46307208,25.18946802,2.98,0.74,-5.53,1.35,0.097,,291.46307407,25.18945458,95441
292.1952883302,-36.0002577544,95774,19 28 46.87,-36 00 00.9,7.46,292.19528124,-36.00025931,5.38,2.36,0.64,1.34,0.131,,292.19528833,-36.00025775,95689
293.2858122263,-54.5323758035,96160,19 33 08.49,-54 31 55.8,8.67,293.2853574,-54.53217103,16.9,108.58,-84.25,1.19,0.653,,293.28581223,-54.5323758,96075
294.6613935406,31.219224401,96618,19 38 38.73,+31 13 09.3,7.59,294.66138689,31.21924071,8.18,2.34,-6.71,0.72,0.087,,294.66139354,31.2192244,96531
295.4682697106,23.3779935774,96902,19 41 52.34,+23 22 42.2,8.56,295.46808605,23.37839214,10.91,69.36,-163.98,1.31,0.642,,295.46826971,23.37799358,96814
296.2443300137,74.0627386044,97166,19 44 58.60,+74 03 45.6,9.92,296.24416245,74.06267016,14.7,18.93,28.16,0.9,0.891,,296.24433001,74.0627386,97079
299.6374374087,-54.9368877598,98316,19 58 32.87,-54 56 11.7,8.54,299.63697548,-54.93659116,43.91,109.18,-122.03,1.17,1.05,,299.63743741,-54.93688776,98227
300.2126870686,-43.9819396316,98516,20 00 51.01,-43 58 53.9,7.66,300.21253716,-43.98163659,12.66,44.38,-124.68,1.04,0.442,,300.21268707,-43.98193963,98427
300.7739974734,26.8920185368,98726,20 03 05.76,+26 53 31.3,7.87,300.77398848,26.89201545,0.31,3.3,1.27,0.84,-0.069,,300.77399747,26.89201854,98637
302.023989405,66.8505755065,99175,20 08 05.53,+66 51 02.6,8.97,302.02304848,66.85073211,18.6,152.19,-64.43,0.82,0.763,,302.02398941,66.85057551,99086
302.114164869,-54.3174356274,99212,20 08 27.40,-54 19 02.6,8.95,302.11415466,-54.31739336,11.34,2.45,-17.39,1.19,0.564,,302.11416487,-54.31743563,99123
302.1476772516,-71.5524873575,99227,20 08 35.44,-71 33 09.1,7.89,302.14764791,-71.55251492,4.02,3.82,11.34,1.41,0.153,,302.14767725,-71.55248736,99138
303.295217422,36.7254850322,99628,20 13 10.85,+36 43 31.8,8.52,303.2952163,36.72549106,2.4,0.37,-2.48,0.87,0.126,,303.29521742,36.72548503,99539
305.9462255702,37.9827419785,100577,20 23 47.09,+37 58 57.9,8.6,305.94620935,37.98274035,3.58,5.26,0.67,0.86,0.055,,305.94622557,37.98274198,100488
307.8598080151,39.9388281319,101252,20 31 26.34,+39 56 19.6,7.59,307.85975292,39.938775,5.36,17.38,21.86,0.65,0.058,,307.85980802,39.93882813,101163
308.5386767442,-29.6721072188,101503,20 34 09.23,-29 40 18.6,10.0,308.53845385,-29.67182666,12.13,79.68,-115.43,1.62,0.81,,308.53867674,-29.67210722,101414
308.5671409321,43.3610220119,101511,20 34 16.10,+43 21 40.4,7.28,308.56708644,43.36121038,13.14,16.3,-77.5,0.61,0.392,,308.56714093,43.36102201,101422
310.4434136247,-68.1350563922,102133,20 41 46.40,-68 08 06.4,8.37,310.44331847,-68.13509917,6.43,14.58,17.6,0.94,0.543,,310.44341362,-68.13505639,102039
310.9117547115,19.727976546,102295,20 43 38.80,+19 43 40.8,7.85,310.91168045,19.72800598,5.17,28.76,-12.11,1.73,0.657,,310.91175471,19.72797655,102201
311.4353702668,43.4451480935,102460,20 45 44.49,+43 26 42.5,8.68,311.43536481,43.44514559,3.32,1.63,1.03,0.84,-0.035,,311.43537027,43.44514809,102366
312.1780965147,51.910330999,102712,20 48 42.74,+51 54 37.2,6.26,312.17807122,51.91032519,4.12,6.42,2.39,0.6,-0.071,,312.17809651,51.910331,102618
316.2036022374,55.5879209435,104051,21 04 48.85,+55 35 16.3,8.03,316.20355166,55.58786419,7.53,11.76,23.35,0.6,0.268,,316.20360224,55.58792094,103957
317.5515546581,10.7388737762,104513,21 10 12.38,+10 44 19.9,8.28,317.55156584,10.73886262,4.74,-4.52,4.59,1.16,0.271,,317.55155466,10.73887378,104420
320.1160626237,61.1202318817,105363,21 20 27.85,+61 07 12.8,8.65,320.11603882,61.12022459,2.74,4.73,3.0,0.79,0.05,,320.11606262,61.12023188,105269
322.3778488297,21.4749161504,106097,21 29 30.69,+21 28 30.5,8.64,322.3778744,21.47513264,14.62,-9.79,-89.07,1.08,0.648,,322.37784883,21.47491615,106003
323.2068819285,39.0722229117,106386,21 32 49.66,+39 04 20.1,8.81,323.20690184,39.07224712,0.44,-6.36,-9.96,1.44,0.18,,323.20688193,39.07222291,106292
327.9476337371,-70.3516945777,107911,21 51 47.39,-70 21 05.7,7.8,327.947457,-70.3515713,8.66,24.45,-50.72,0.73,0.529,,327.94763374,-70.35169458,107815
328.7137318814,-77.3379946691,108162,21 54 50.70,-77 20 15.2,8.23,328.71125142,-77.3375425,37.91,223.7,-186.04,1.18,1.0,D,328.71373188,-77.33799467,108067
329.3850199177,41.4495106158,108390,21 57 32.40,+41 26 58.2,8.33,329.38499657,41.44951047,3.27,7.2,0.06,0.81,0.13,,329.38501992,41.44951062,108294
330.794884729,18.8843186107,108859,22 03 10.75,+18 53 03.7,7.65,330.79481049,18.88436326,21.24,28.9,-18.37,1.0,0.594,,330.79488473,18.88431861,108764
331.3074770796,66.7752649284,109028,22 05 13.77,+66 46 30.9,8.72,331.3073784,66.77524755,4.53,16.01,7.15,0.69,0.156,,331.30747708,66.77526493,108933
333.2450040131,53.9845354454,109669,22 12 58.80,+53 59 04.3,8.54,333.24498566,53.98453931,1.61,4.44,-1.59,0.95,0.1,,333.24500401,53.98453545,109574
336.4022710265,-34.9095831564,110692,22 25 36.53,-34 54 34.2,10.55,336.40219687,-34.90950883,24.49,25.02,-30.58,1.97,1.21,,336.40227103,-34.90958316,110597
336.5757882956,-18.011171265,110758,22 26 18.14,-18 00 39.2,8.24,336.57560162,-18.01089372,12.8,73.04,-114.19,1.14,0.547,,336.5757883,-18.01117127,110663
338.9846472636,-59.8644685941,111553,22 35 56.44,-59 51 51.3,7.95,338.98517143,-59.86426105,20.98,-108.27,-85.39,0.98,0.614,,338.98464726,-59.86446859,111457
339.2309485003,37.6755607521,111636,22 36 55.43,+37 40 32.1,10.4,339.23096235,37.6755862,2.78,-4.51,-10.47,2.74,0.13,,339.2309485,37.67556075,111540
339.8159531605,33.8894891965,111842,22 39 15.83,+33 53 22.2,8.87,339.81597676,33.88950395,2.18,-8.06,-6.07,1.47,0.571,,339.81595316,33.8894892,111745
340.5915303622,-6.8711292043,112100,22 42 21.96,-06 52 16.2,8.74,340.59150167,-6.87116943,14.09,11.72,16.55,1.47,0.614,,340.59153036,-6.8711292,112002
341.3863137329,48.1615845664,112363,22 45 32.72,+48 09 41.8,8.68,341.38631898,48.16160299,0.59,-1.44,-7.58,1.02,0.004,,341.38631373,48.16158457,112264
343.5723668422,-43.0103489815,113103,22 54 17.37,-43 00 37.5,9.95,343.57236056,-43.01041361,22.4,1.89,26.59,1.47,0.969,,343.57236684,-43.01034898,113003
343.8538520521,70.2972828134,113195,22 55 24.86,+70 17 50.2,7.48,343.85356786,70.29728189,11.92,39.42,0.38,0.6,0.298,,343.85385205,70.29728281,113095
344.1276773262,-76.7978258314,113293,22 56 31.11,-76 47 52.5,9.56,344.12962379,-76.79791312,13.22,-182.9,35.91,1.1,0.696,,344.12767733,-76.79782583,113193
344.1754311404,43.8874445801,113300,22 56 42.10,+43 53 15.0,9.24,344.17543168,43.88750391,7.04,-0.16,-24.41,1.11,0.399,,344.17543114,43.88744458,113200
345.1554396915,46.0325521283,113609,23 00 37.31,+46 01 57.2,9.22,345.15545233,46.03256117,2.73,-3.61,-3.72,1.26,0.103,,345.15543969,46.03255213,113509
345.778901479,-33.500393236,113831,23 03 06.90,-33 30 01.2,8.85,345.77874554,-33.50034375,8.37,53.5,-20.36,1.84,0.499,,345.77890148,-33.50039324,113731
346.3190871131,-36.9455313883,114003,23 05 16.57,-36 56 43.7,9.17,346.31904408,-36.94547218,5.08,14.15,-24.36,1.33,0.485,,346.31908711,-36.94553139,113903
348.1607931037,2.686221491,114576,23 12 38.55,+02 41 11.7,7.71,348.16064492,2.68657905,15.21,60.9,-147.11,0.95,0.622,,348.1607931,2.68622149,114475
349.2159543051,5.6960037894,114941,23 16 51.81,+05 41 45.8,10.51,349.21588833,5.69606922,38.08,27.01,-26.92,1.81,1.5,,349.21595431,5.69600379,114840
350.491264512,-40.17431187,115358,23 21 57.90,-40 10 27.5,9.93,350.49124409,-40.17429962,3.94,6.42,-5.04,2.56,0.542,,350.49126451,-40.17431187,115257
351.2291697641,-38.1607108394,115594,23 24 54.97,-38 09 38.4,9.43,351.22904151,-38.16065902,4.11,41.49,-21.32,2.78,0.547,,351.22916976,-38.16071084,115492
351.6484603361,64.3047240562,115710,23 26 35.64,+64 18 17.0,7.82,351.64848175,64.30473565,5.37,-3.82,-4.77,0.7,0.278,,351.64846034,64.30472406,115608
351.9877314171,-26.4544317477,115828,23 27 56.96,-26 27 15.6,8.27,351.98733812,-26.45432196,16.76,144.87,-45.17,1.09,0.593,,351.98773142,-26.45443175,115726
352.7563396427,-19.4899911575,116061,23 31 01.51,-19 29 24.1,9.06,352.75627155,-19.49001697,4.84,26.41,10.62,1.59,0.423,,352.75633964,-19.48999116,115958
353.0336359108,-21.8014240629,116158,23 32 08.13,-21 48 05.6,8.15,353.03388803,-21.80154457,9.44,-96.31,49.58,1.25,0.909,,353.03363591,-21.80142406,116055
354.8366622886,45.7199084408,116726,23 39 20.80,+45 43 11.8,7.62,354.83668255,45.71993892,3.7,-5.82,-12.54,1.27,0.444,,354.83666229,45.71990844,116623
354.9144980094,-69.1957500537,116748,23 39 39.35,-69 11 44.1,8.17,354.91395712,-69.19558694,21.64,79.04,-67.11,1.32,0.78,,354.91449801,-69.19575005,116644
355.4669677648,14.1071076351,116907,23 41 51.96,+14 06 26.2,11.98,355.46651448,14.10727408,21.63,180.87,-68.48,3.96,1.431,,355.46696776,14.10710764,116804
356.6218948482,81.378060995,117249,23 46 29.29,+81 22 41.0,7.97,356.62204417,81.37806712,5.23,-9.21,-2.52,0.63,0.264,,356.62189485,81.37806099,117145
356.6290888252,-48.9581320924,117250,23 46 31.06,-48 57 29.5,8.88,356.62939847,-48.95820394,9.91,-83.65,29.56,1.19,0.589,,356.62908883,-48.95813209,117146
357.0011869776,49.790535761,117382,23 48 00.27,+49 47 25.9,8.79,357.00113009,49.79053632,3.91,15.11,-0.23,1.25,0.056,,357.00118698,49.79053576,117277
359.1615084958,-44.7190777575,118045,23 56 38.63,-44 43 08.0,9.37,359.16095046,-44.71889537,13.22,163.14,-75.04,1.32,0.692,,359.1615085,-44.71907776,117941
