HIP,RAhms,DEdms,TFOPWG Disposition
50496,10 18 41.05,+10 07 44.9,KP
50568,10 19 47.78,-28 57 44.5,PC
50807,10 22 23.49,-28 50 51.7,PC
51260,10 28 15.00,+25 34 23.6,KP
51271,10 28 23.52,-51 42 18.7,FP
51743,10 34 19.15,-09 09 48.1,PC
52733,10 46 49.79,-09 23 55.8,KP
52796,10 47 38.45,+71 39 21.5,KP
53534,10 57 09.21,-69 58 50.2,FP
54186,11 05 04.57,+11 14 48.2,CP
54491,11 08 55.92,+34 18 11.8,CP
54597,11 10 25.99,-29 24 49.7,PC
54906,11 14 33.23,+25 42 37.0,KP
55069,11 16 28.42,-60 34 04.7,PC
56031,11 29 01.58,+63 34 24.3,PC
57350,11 45 31.34,+65 32 26.9,PC
57386,11 45 55.53,+11 22 15.2,PC
58234,11 56 39.36,-12 22 38.9,APC
60689,12 26 17.96,-51 21 45.8,CP
61278,12 33 27.30,+84 40 45.3,FP
61637,12 38 04.43,+03 16 56.9,PC
61723,12 39 06.51,-74 34 26.3,CP
61737,12 39 14.49,-69 32 31.2,FP
61820,12 40 08.78,-44 18 43.1,KP
62662,12 50 22.35,-88 07 15.6,CP
62908,12 53 34.80,+85 07 46.1,CP
64184,13 09 16.24,-60 18 29.9,PC
64573,13 14 09.39,-16 33 30.2,PC
65205,13 21 48.70,+17 45 55.8,APC
65469,13 25 08.09,+38 55 21.2,CP
65489,13 25 20.89,+75 58 57.8,FA
66192,13 34 02.62,+53 43 43.4,KP
66730,13 40 40.85,+19 12 01.1,PC
66954,13 43 23.01,+39 14 57.6,PC
67522,13 50 06.30,-40 50 08.7,KP
67650,13 51 37.52,+33 29 32.8,APC
69240,14 10 29.46,+72 35 25.4,PC
69275,14 10 53.07,+62 31 20.0,PC
69332,14 11 23.24,-50 04 11.7,APC
69858,14 17 47.33,+62 45 27.6,PC
70705,14 27 41.84,+41 57 13.2,CP
70833,14 29 07.17,-43 21 42.6,FP
71409,14 36 09.02,+42 22 41.4,PC
71815,14 41 24.11,-33 57 01.2,FP
72490,14 49 20.56,-60 04 46.8,FP
72777,14 52 36.49,-61 34 07.0,FP
73427,15 00 19.53,-24 27 14.4,CP
73765,15 04 43.53,+38 36 18.5,FP
73869,15 05 50.07,+64 02 49.0,CP
74326,15 11 29.27,+71 50 26.7,CP
74576,15 14 16.39,+51 28 07.3,PC
74685,15 15 48.05,+27 21 42.3,FP
77073,15 44 16.66,-54 19 14.9,PC
77717,15 52 00.28,-76 29 36.3,FP
77921,15 54 48.47,-65 54 04.5,PC
78301,15 59 18.20,-49 21 59.1,PC
78892,16 06 19.30,+53 30 55.0,PC
79105,16 08 48.25,+35 41 28.7,FP
79823,16 17 31.34,+61 22 07.4,PC
79876,16 18 15.50,+42 37 37.1,PC
80076,16 20 36.37,+41 02 53.4,KP
80243,16 22 54.56,+61 41 40.3,PC
80264,16 23 07.04,+50 20 39.2,PC
80838,16 30 29.68,+38 20 49.8,KP
81087,16 33 44.08,+61 43 05.8,PC
82032,16 45 26.79,-71 50 23.8,FP
83168,16 59 50.09,+58 27 45.2,FA
83359,17 02 15.78,+64 36 02.4,FA
83827,17 07 55.94,+32 06 20.1,CP
84062,17 11 08.43,+56 39 33.7,FA
84840,17 20 23.22,+20 16 58.9,FP
85072,17 23 11.81,-51 01 27.8,APC
85268,17 25 24.14,+52 47 26.9,CP
85444,17 27 41.09,+57 30 37.7,FA
85583,17 29 20.47,-38 38 43.6,APC
86040,17 35 01.95,+40 41 42.2,CP
86067,17 35 24.45,+64 22 50.3,PC
86844,17 44 40.20,-44 14 44.7,PC
88071,17 59 13.71,+64 08 33.1,FA
91434,18 38 49.92,-85 42 31.9,FP
91906,18 44 09.89,+75 59 26.0,PC
92146,18 46 50.02,+12 33 16.2,PC
92247,18 48 00.08,+48 32 31.9,PC
92759,18 54 08.66,-36 39 23.0,PC
92848,18 55 10.68,+64 31 52.8,PC
93711,19 04 54.84,+79 45 16.8,FA
94235,19 10 57.84,-60 16 19.0,CP
95348,19 23 54.54,-33 21 04.9,FP
95502,19 25 29.66,-60 56 27.5,FP
95526,19 25 51.14,+25 11 22.1,FP
95774,19 28 46.87,-36 00 00.9,FP
96160,19 33 08.49,-54 31 55.8,CP
96618,19 38 38.73,+31 13 09.3,KP
96902,19 41 52.34,+23 22 42.2,FP
97166,19 44 58.60,+74 03 45.6,CP
98316,19 58 32.87,-54 56 11.7,PC
98516,20 00 51.01,-43 58 53.9,APC
98726,20 03 05.76,+26 53 31.3,APC
99175,20 08 05.53,+66 51 02.6,CP
99212,20 08 27.40,-54 19 02.6,CP
99227,20 08 35.44,-71 33 09.1,APC
99628,20 13 10.85,+36 43 31.8,APC
100577,20 23 47.09,+37 58 57.9,PC
101252,20 31 26.34,+39 56 19.6,KP
101503,20 34 09.23,-29 40 18.6,CP
101511,20 34 16.10,+43 21 40.4,PC
102133,20 41 46.40,-68 08 06.4,PC
102295,20 43 38.80,+19 43 40.8,PC
102460,20 45 44.49,+43 26 42.5,FP
102712,20 48 42.74,+51 54 37.2,FP
104051,21 04 48.85,+55 35 16.3,CP
104513,21 10 12.38,+10 44 19.9,KP
105363,21 20 27.85,+61 07 12.8,FP
106097,21 29 30.69,+21 28 30.5,CP
106386,21 32 49.66,+39 04 20.1,FP
107911,21 51 47.39,-70 21 05.7,PC
108162,21 54 50.70,-77 20 15.2,FP
108390,21 57 32.40,+41 26 58.2,FP
108859,22 03 10.75,+18 53 03.7,KP
109028,22 05 13.77,+66 46 30.9,PC
109669,22 12 58.80,+53 59 04.3,FP
110692,22 25 36.53,-34 54 34.2,CP
110758,22 26 18.14,-18 00 39.2,KP
111553,22 35 56.44,-59 51 51.3,CP
111636,22 36 55.43,+37 40 32.1,PC
111842,22 39 15.83,+33 53 22.2,APC
112100,22 42 21.96,-06 52 16.2,PC
112363,22 45 32.72,+48 09 41.8,APC
113103,22 54 17.37,-43 00 37.5,KP
113195,22 55 24.86,+70 17 50.2,PC
113293,22 56 31.11,-76 47 52.5,PC
113300,22 56 42.10,+43 53 15.0,PC
113609,23 00 37.31,+46 01 57.2,APC
113831,23 03 06.90,-33 30 01.2,PC
114003,23 05 16.57,-36 56 43.7,FA
114576,23 12 38.55,+02 41 11.7,PC
114941,23 16 51.81,+05 41 45.8,PC
115358,23 21 57.90,-40 10 27.5,PC
115594,23 24 54.97,-38 09 38.4,PC
115710,23 26 35.64,+64 18 17.0,FP
115828,23 27 56.96,-26 27 15.6,PC
116061,23 31 01.51,-19 29 24.1,APC
116158,23 32 08.13,-21 48 05.6,CP
116726,23 39 20.80,+45 43 11.8,APC
116748,23 39 39.35,-69 11 44.1,CP
116907,23 41 51.96,+14 06 26.2,PC
117249,23 46 29.29,+81 22 41.0,PC
117250,23 46 31.06,-48 57 29.5,PC
117382,23 48 00.27,+49 47 25.9,PC
118045,23 56 38.63,-44 43 08.0,FP
